Rank,Name,Age,Tier,Height,Weight,Position,Team,Wingspan,ModalKey,Snapshot_free,SpatialIQ,FitMatrix,DefensiveProfile,ArchetypeDrift,RiskIndex,MaturityIndex,ShotQualityModel,HistoricalEchoes,CognitiveProfile,DevelopmentalArchetype,DiagnosticOverlay,FilteredMetrics,DefensiveVersatility,PossessionTag,ComparisonRationale,Jazz
1,AJ Dybantsa,17,Platinum,"6'9""",190,SF,BYU,"6'11""",ModalKey-Dybantsa,Polished scoring wing with advanced pace control and a natural feel for creating advantages.,,,,,,,,,,,,,,,,
2,Darryn Peterson,18,Platinum,"6'5""",195,SG/PG,Kansas,"6'8""",ModalKey-Peterson,Powerful guard with shot‑making confidence and a strong frame that translates on both ends.,,,,,,,,,,,,,,,,
3,Cameron Boozer,17,Platinum,"6'9""",250,PF,Duke,"7'1""",ModalKey-CamBoozer,"Versatile forward with strength, touch, and a mature approach to decision‑making.",,,,,,,,,,,,,,,,
4,Koa Peat,18,Platinum,"6'8""",225,PF,Arizona,"7'0""",ModalKey-Peat,"Multi‑tool forward who blends physicality with smart, team‑oriented play on both ends.",,,,,,,,,,,,,,,,
5,Mikel Brown Jr.,18,Platinum,"6'5""",180,PG,Louisville,"6'5""",ModalKey-Brown Jr.,"Crafty lead guard with smooth handle, scoring instincts, and emerging playmaking polish.",,,,,,,,,,,,,,,,
6,Caleb Wilson,18,Gold,"6'9""",205,PF,North Carolina,"7'2""",ModalKey-Wilson,"Long, fluid forward with intriguing perimeter flashes and defensive versatility",,,,,,,,,,,,,,,,
7,Nate Ament,18,Gold,"6'9""",207,PF,Tennessee,"7'1""",ModalKey-Ament,"Skilled forward with length, mobility, and a growing offensive toolkit",,,,,,,,,,,,,,,,
8,Chris Cenac Jr.,18,Gold,"6'10""",200,PF/C,Houston,"7'2""",ModalKey-Cenac Jr.,Explosive frontcourt athlete with rim‑running value and defensive upside.,,,,,,,,,,,,,,,,
9,Flory Bidunga,20,Gold,"6'10""",220,C,Kansas,"7'6""",ModalKey-Bidunga,High‑motor interior presence with elite vertical pop and strong finishing tools,,,,,,,,,,,,,,,,
10,Meleek Thomas,19,Gold,"6'5""",185,PG/SG,Arkansas,"6'7""",ModalKey-Thomas,"Dynamic scoring guard with confidence, rhythm creation, and competitive energy",,,,,,,,,,,,,,,,
11,Dash Daniels,18,Gold,"6'6""",200,PG,"Melbourne United (NBL Next Stars, Australia)","6'10""",ModalKey-Daniels,"Big guard with pace, vision, and a developing scoring package.",,,,,,,,,,,,,,,,
12,Coen Carr,20,Gold,"6'6""",225,SF,Michigan St.,"6'10""",ModalKey-Carr,Elite athlete with transition impact and disruptive defensive tools.,,,,,,,,,,,,,,,,
13,Ian Jackson,20,Gold,"6'6""",185,SG,St. Johns,6'9,ModalKey-Jackson,Smooth scoring wing with slashing ability and confident perimeter touch,,,,,,,,,,,,,,,,
14,Boogie Fland,19,Gold,"6'3""",180,PG,Florida,"6'6""",ModalKey-Fland,Poised lead guard with shot‑making feel and steady decision‑making.,,,,,,,,,,,,,,,,
15,Solo Ball,20,Gold,"6'3""",190,SG,UConn,"7'0""",ModalKey-Ball,"Strong, physical guard who pressures the rim and competes defensively.",,,,,,,,,,,,,,,,
16,Darius Acuff Jr.,19,Gold,"6'2""",180,PG,Arkansas,"6'6""",ModalKey-Acuff Jr.,Crafty creator with advanced footwork and natural scoring instincts.,,,,,,,,,,,,,,,,
17,Tounde Yessefou,18,Gold,"6'6""",215,SG/SF,Baylor,"6'8.5""",ModalKey-Yessefou,Powerful wing with explosive athleticism and two‑way playmaking flashes,,,,,,,,,,,,,,,,
18,Isaiah Evans,19,Gold,"6'7""",175,SG/SF,Duke,"6'9""",ModalKey-Evans,Long scoring wing with shooting upside and fluid offensive movement,,,,,,,,,,,,,,,,
19,Jayden Quaintance,18,Gold,"6'9""",225,PF,Kentucky,"7'3""",ModalKey-Quaintance,"Young, toolsy big with length, mobility, and long‑term defensive potential.",,,,,,,,,,,,,,,,
20,Alijah Arenas,18,Gold,"6'5""",185,SG,USC,"7'0""",ModalKey-Arenas,Confident scoring guard with shot‑creation ability and competitive edge,,,,,,,,,,,,,,,,
21,Cayden Boozer,18,Gold,"6'4""",205,PG,Duke,"6'7""",ModalKey-CaydenBoozer,,,,,,,,,,,,,,,,,
22,Bennett Stirtz,19,Gold,"6'4""",190,PG,Iowa,"6'6""",ModalKey-Stirtz,,,,,,,,,,,,,,,,,
23,Brayden Burries,19,Gold,"6'5""",190,SG,Arizona,"6'8""",ModalKey-Burries,,,,,,,,,,,,,,,,,
24,Dame Sarr,19,Gold,"6'5""",185,SG/SF,Duke,"6'10""",ModalKey-Sarr,,,,,,,,,,,,,,,,,
25,Karim Lopez,18,Gold,"6'8""",210,PF,"New Zealand Breakers (NBL, Australia/New Zealand)",6'10,ModalKey-Lopez,,,,,,,,,,,,,,,,,
26,Taylor Bol-Bowen,21,Gold,"6'10""",202,PF,Alabama,"7'2""",ModalKey-Bol-Bowen,,,,,,,,,,,,,,,,,
27,Kingston Flemings,18,Gold,"6'4""",190,PG,Houston,"6'6""",ModalKey-Flemings,,,,,,,,,,,,,,,,,
28,JT Toppin,20,Gold,"6'9""",210,PF,Texas Tech,"7'1""",ModalKey-Toppin,,,,,,,,,,,,,,,,,
29,Donnie Freeman,19,Gold,"6'9""",215,PF,Syracuse,"7'1""",ModalKey-Freeman,,,,,,,,,,,,,,,,,
30,Darrion Williams,22,Gold,6'6,225,SF/PF,NC State (transfer from Texas Tech),"6'9""",ModalKey-Williams,,,,,,,,,,,,,,,,,
31,Tyrone Riley IV,19,Gold,"6'6""",200,SG,San Franciso,"6'10""",ModalKey-RileyIV,,,,,,,,,,,,,,,,,
32,Malachi Moreno,18,Silver,"6'11""",230,C,Kentucky,"7'3""",ModalKey-Moreno,,,,,,,,,,,,,,,,,
33,Hugo Facorat,18,Gold,"6'10""",220,PF,"Toulouse Basket Club (France, NM1) / formerly Overtime Elite","6""10""",ModalKey-Facorat,,,,,,,,,,,,,,,,,
34,Jalil Bethea,20,Silver,"6'4""",170,SG,Alabama,"6'8""",ModalKey-Bethea,,,,,,,,,,,,,,,,,
35,Karter Knox,19,Silver,"6'6""",224,SF,Arkansas,"6'9""",ModalKey-Knox,,,,,,,,,,,,,,,,,
36,Aday Mara,20,Gold,"7'3""",245,C,Michigan,"7'5""",ModalKey-Mara,,,,,,,,,,,,,,,,,
37,Labaron Philon,19,Gold,"6'4""",177,PG,Alabama,"6'6""",ModalKey-Philon,,,,,,,,,,,,,,,,,
38,Andrej Stojakovic,20,Silver,"6'7""",215,SF,Illinois,"6'9""",ModalKey-Stojakovic,,,,,,,,,,,,,,,,,
39,Henri Veesaar,21,Silver,"7'0""",210,C,North Carolina (transfer from Arizona),"7'2""",ModalKey-Veesaar,,,,,,,,,,,,,,,,,
40,Isaiah Harwell,18,Silver,"6'5""",190,SG,Houston,"6'7""",ModalKey-Harwell,,,,,,,,,,,,,,,,,
41,Miikka Muurinen,18,Gold,"6'11""",203,PF/SF,Partizan Belgrade (EuroLeague/ABA),"7'2""",ModalKey-Muurinen,,,,,,,,,,,,,,,,,
42,Niko Bundalo,18,Silver,"6'10""",220,PF,Ole Miss,"6'11""",ModalKey-Bundalo,,,,,,,,,,,,,,,,,
43,Milos Uzan,22,Silver,"6'4""",190,PG,Houston,"6""6""",ModalKey-Uzan,,,,,,,,,,,,,,,,,
44,Hannes Steinbach,18,Gold,"6'10""",220,PF,Washington,"7'2""",ModalKey-Steinbach,,,,,,,,,,,,,,,,,
45,Alex Condon,21,Gold,6'11,230,PF/C,Florida,"7'2""",ModalKey-Condon,,,,,,,,,,,,,,,,,
46,Zoom Diallo,19,Gold,6'4,190,PG,Washington,"6'6""",ModalKey-Diallo,,,,,,,,,,,,,,,,,
47,Morez Johnson Jr.,19,Silver,"6'9""",250,PF,Michigan (transfer from Illinois),"7'1""",ModalKey-Johnson Jr.,,,,,,,,,,,,,,,,,
48,Jalen Haralson,18,Silver,"6'7""",220,SG/SF,Notre Dame,"6'10""",ModalKey-Haralson,,,,,,,,,,,,,,,,,
49,Jo Jo Tugler,20,Silver,"6'8""",230,PF/C,Houston,"7'0""",ModalKey-Tugler,,,,,,,,,,,,,,,,,
50,Sadiq White Jr.,18,Silver,"6'8""",200,SF/PF,Syracuse,6'11,ModalKey-White Jr.,,,,,,,,,,,,,,,,,
51,Patrick Ngongba II,19,Silver,"6'11""",250,C,Duke,"7'1""",ModalKey-Ngongba II,,,,,,,,,,,,,,,,,
52,Shon Abaev,18,Silver,6'7,195,SF,Cincinatti,"6'9""",ModalKey-Abaev,,,,,,,,,,,,,,,,,
53,Bryson Tiller,20,Gold,"6'10""",240,PF,Kansas,"7'3""",ModalKey-Tiller,,,,,,,,,,,,,,,,,
54,Alex Karaban,22,Silver,"6'8""",220,PF,UConn,"6'10""",ModalKey-Karaban,,,,,,,,,,,,,,,,,
55,Amarion Dickerson,20,Silver,"6'7""",197,SF,USC,"6'10""",ModalKey-Dickerson,,,,,,,,,,,,,,,,,
56,PJ Haggerty,21,Silver,"6'3""",185,SG,Kansas State,"6'6""",ModalKey-Haggerty,,,,,,,,,,,,,,,,,
57,Baye Ndongo,21,Silver,"6'9""",230,PF,Georgia Tech,"7'1""",ModalKey-Ndongo,,,,,,,,,,,,,,,,,
58,Braylon Mullins,18,Silver,"6'6""",196,SG/SF,UConn,"6'8""",ModalKey-Mullins,,,,,,,,,,,,,,,,,
59,Nikolas Khamenia,18,Silver,"6'8""",215,SF/PF,Duke,"6'10""",ModalKey-Khamenia,,,,,,,,,,,,,,,,,
60,Braden Smith,21,Silver,"6'0""",175,PG,Purdue,"6'3""",ModalKey-Smith,,,,,,,,,,,,,,,,,
61,Derrion Reid,19,Silver,"6'8""",226,SF/PF,Oklahoma,"6'9""",ModalKey-Reid,,,,,,,,,,,,,,,,,
62,Tahaad Pettiford,19,Silver,"6'1""",175,PG,Auburn,"6'4""",ModalKey-Pettiford,,,,,,,,,,,,,,,,,
63,Yaxel Lendeborg,23,Silver,"6'9""",215,PF,Michigan (transfer from UAB),"7'1""",ModalKey-Lendeborg,,,,,,,,,,,,,,,,,
64,Milan Momcilovic,20,Silver,"6'8""",225,SF/PF,Iowa State,"6'10""",ModalKey-Momcilovic,,,,,,,,,,,,,,,,,
65,Declan Duru,19,Silver,"6'9""",210,PF,Texas,"7'0""",ModalKey-Duru,,,,,,,,,,,,,,,,,
66,Jasper Johnson,19,Silver,"6'5""",185,PG/SG,Kentucky,"6'6""",ModalKey-Johnson,,,,,,,,,,,,,,,,,
67,Andrej Kostic,18,Silver,"6'7""",200,SG/SF,Kansas State,"6'8""",ModalKey-Kostic,,,,,,,,,,,,,,,,,
68,Luigi Suigo,18,Silver,"7'2""",250,C,"KK Mega Basket (Serbia, ABA League)","7'4""",ModalKey-Suigo,,,,,,,,,,,,,,,,,
69,Kanon Catchings,19,Silver,"6'8""",185,SF/PF,Georgia,"6'10""",ModalKey-Catchings,,,,,,,,,,,,,,,,,
70,Johann Grunloh,18,Bronze,"6'10""",225,C,"Virginia (freshman, ex‑Rasta Vechta)","7'1""",ModalKey-Grunloh,,,,,,,,,,,,,,,,,
71,Silas Demary Jr.,20,Silver,"6'4""",195,PG,UConn,"6'6""",ModalKey-Demary Jr.,,,,,,,,,,,,,,,,,
72,John Mobley Jr.,20,Silver,"6'2""",185,PG,Ohio State,"6'5""",ModalKey-Mobley Jr.,,,,,,,,,,,,,,,,,
73,Miles Byrd,20,Silver,"6'6""",190,SF/PF,San Diego State,6'10,ModalKey-Byrd,,,,,,,,,,,,,,,,,
74,Xaivian Lee,21,Silver,"6'4""",180,PG/SG,Florida,"6'5""",ModalKey-Lee,,,,,,,,,,,,,,,,,
75,Bryson Tucker,19,Silver,"6'7""",185,SF,Washington (transfer from Indiana),"6'10""",ModalKey-Tucker,,,,,,,,,,,,,,,,,
76,Roddy Gayle Jr.,21,Silver,"6'5""",210,SG,Michigan,"6'6""",ModalKey-Gayle Jr.,,,,,,,,,,,,,,,,,
77,Tomislav Ivisic,22,Silver,"7'1""",255,C,Illinois,"7'3""",ModalKey-TomIvisic,,,,,,,,,,,,,,,,,
78,Paul McNeil Jr.,19,Silver,"6'5""",190,SG/SF,NC State,"6'8""",ModalKey-McNeil Jr.,,,,,,,,,,,,,,,,,
79,Otega Oweh,21,Silver,"6'6""",215,SG,Kentucky (transfer from Oklahoma),"6'8""",ModalKey-Oweh,,,,,,,,,,,,,,,,,
80,Tarris Reed Jr.,21,Silver,"6'10""",265,C,UConn,"7'2""",ModalKey-Reed Jr.,,,,,,,,,,,,,,,,,
81,Zvonimir Ivisic,22,Silver,"7'2""",250,C,Illinois,"7'4""",ModalKey-ZvonIvisic,,,,,,,,,,,,,,,,,
82,Josh Dix,21,Silver,"6'5""",190,PG/SG,Creighton,"6'8""",ModalKey-Dix,,,,,,,,,,,,,,,,,
83,Thomas Haugh,21,Bronze,"6'9""",225,SF/PF,Florida,"6'10""",ModalKey-Haugh,,,,,,,,,,,,,,,,,
84,Michael Ruzic,19,Bronze,"6'8""",210,PF,"Joventut Badalona (Spain, ACB/EuroCup","7'0""",ModalKey-Ruzic,,,,,,,,,,,,,,,,,
85,Noa Kouakou-Heugue,18,Bronze,"6'6""",200,SF/PF,"Perth Wildcats (NBL Next Stars, Australia)","6'9""",ModalKey-Kouakou-Heugue,,,,,,,,,,,,,,,,,
86,Magoon Gwath,19,Bronze,"6'7""",215,PF/C,San Diego State,6'10,ModalKey-Gwath,,,,,,,,,,,,,,,,,
87,Matt Able,18,Bronze,6'6,190,SG/SF,NCState,"6'7""",ModalKey-Able,,,,,,,,,,,,,,,,,
88,Mathias M'Madi,19,Bronze,"6'5""",177,PG/SG,"CB Morón (Spain, Primera FEB) / Madagascar NT","6'7""",ModalKey-M'Madi,,,,,,,,,,,,,,,,,
89,Joson Sanon,19,Silver,"6'5""",200,SG/SF,St. John’s (transfer from Arizona),"6'7""",ModalKey-Sanon,,,,,,,,,,,,,,,,,
90,Robert Wright III,20,Silver,"6'1""",170,PG,BYU (transfer from Baylor),"6'3""",ModalKey-Wright III,,,,,,,,,,,,,,,,,
91,Billy Richmond III,19,Silver,"6'6""",200,SG/SF,Arkansas,"6'9""",ModalKey-Richmond III,,,,,,,,,,,,,,,,,
